FINAL SUPER AUDIT REPORT
Total MCQs Scanned: 24476
Total Errors Found: 26203
------------------------------------------------------------
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 2
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 3
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 4
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 5
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 6
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 7
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 8
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 9
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 10
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 11
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 12
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 13
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 14
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 15
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 16
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 17
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 18
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 19
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 20
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 21
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 22
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 23
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 24
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 25
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 26
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 27
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 28
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 29
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 30
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 31
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 32
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 33
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 34
[AI ARTIFACT] Found 'here are' in explanation at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 34
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 35
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 36
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 37
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 38
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 39
[LATEX REMNANT] in Question at Engineering_Master_Bank/Intelligence/Logical_Problems/mcqs.csv | Row 40
